SSRQ_ZH_NF_II_3	KdS ZH I	http://permalink.snl.ch/bib/chbsg000137763
SSRQ_ZH_NF_II_3	HLS	http://permalink.snl.ch/bib/chbsg000030960
SSRQ_ZH_NF_II_3	Maur	https://hls-dhs-dss.ch/de/articles/000132
SSRQ_ZH_NF_II_3	Baumeler 2010	http://permalink.snl.ch/bib/chbsg000056430
SSRQ_ZH_NF_II_3	Schmid 2004	http://permalink.snl.ch/bib/chbsg000044058
SSRQ_ZH_NF_II_3	Schmid 1969	http://permalink.snl.ch/bib/chbsg000136772
SSRQ_ZH_NF_II_3	Kläui 1964	http://permalink.snl.ch/bib/chbsg000135535
SSRQ_ZH_NF_II_3	Baumeler 2012	/startseite/literaturverzeichnis
SSRQ_ZH_NF_II_3	Baumeler 2010	http://permalink.snl.ch/bib/chbsg000056430
SSRQ_ZH_NF_II_3	Schmid 2004	http://permalink.snl.ch/bib/chbsg000044058
SSRQ_ZH_NF_II_3	Kläui 1964	http://permalink.snl.ch/bib/chbsg000135535
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 23	/suche/detail/SSRQ_ZH_NF_II_3_023
SSRQ_ZH_NF_II_3	Kläui 1964	http://permalink.snl.ch/bib/chbsg000135535
SSRQ_ZH_NF_II_3	Kläui 1958	http://permalink.snl.ch/bib/chbsg000135638
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 51	/suche/detail/SSRQ_ZH_NF_II_3_051
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 54	/suche/detail/SSRQ_ZH_NF_II_3_054
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 79	/suche/detail/SSRQ_ZH_NF_II_3_079
SSRQ_ZH_NF_II_3	Schmid 2004	http://permalink.snl.ch/bib/chbsg000044058
SSRQ_ZH_NF_II_3	Kläui 1964	http://permalink.snl.ch/bib/chbsg000135535
SSRQ_ZH_NF_II_3	HLS	http://permalink.snl.ch/bib/chbsg000030960
SSRQ_ZH_NF_II_3	Freudwil	https://hls-dhs-dss.ch/de/articles/011363
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 73	/suche/detail/SSRQ_ZH_NF_II_3_073
SSRQ_ZH_NF_II_3	Frei 1993	http://permalink.snl.ch/bib/chbsg000111632
SSRQ_ZH_NF_II_3	Kläui/Imhof 1951	http://permalink.snl.ch/bib/chbsg000139039
SSRQ_ZH_NF_II_3	Schmid 2004	http://permalink.snl.ch/bib/chbsg000044058
SSRQ_ZH_NF_II_3	Schmid 1969	http://permalink.snl.ch/bib/chbsg000136772
SSRQ_ZH_NF_II_3	Diethelm/d’Andrea 1996	/startseite/literaturverzeichnis
SSRQ_ZH_NF_II_3	Diethelm/d’Andrea 1991	/startseite/literaturverzeichnis
SSRQ_ZH_NF_II_3	KdS ZH III	http://permalink.snl.ch/bib/chbsg000135537
SSRQ_ZH_NF_II_3	HLS	http://permalink.snl.ch/bib/chbsg000030960
